question,ground_truth,contexts,evolution_type,answer,faithfulness,answer_relevancy,context_precision,context_recall
Tên hoạt động sản xuất kinh doanh là gì?,Hoạt động sản xuất kinh doanh thông thường,['Stub context for Tên hoạt động sản xuất kinh doanh là gì?'],simple,Stub answer for: Tên hoạt động sản xuất kinh doanh là gì?,0.78,0.82,0.7,0.75
Bảng có cột nào về thuế giá trị gia tăng?,Thue gia tri gia tang,['Stub context for Bảng có cột nào về thuế giá trị gia tăng?'],simple,Stub answer for: Bảng có cột nào về thuế giá trị gia tăng?,0.76,0.81,0.68,0.76
Chỉ tiêu [43] bằng bao nhiêu theo đoạn trích?,0,['Stub context for Chỉ tiêu [43] bằng bao nhiêu theo đoạn trích?'],simple,Stub answer for: Chỉ tiêu [43] bằng bao nhiêu theo đoạn trích?,0.74,0.8,0.7,0.77
Luật Tổ chức Chính phủ được thông qua vào ngày nào?,Ngày 19 tháng 6 năm 2015.,['Stub context for Luật Tổ chức Chính phủ được thông qua vào ngày nào?'],simple,Stub answer for: Luật Tổ chức Chính phủ được thông qua vào ngày nào?,0.72,0.82,0.68,0.78
Nghị định này áp dụng đối với những đối tượng nào?,"Cơ quan, tổ chức, cá nhân Việt Nam; cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; và cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam.",['Stub context for Nghị định này áp dụng đối với những đối tượng nào?'],simple,Stub answer for: Nghị định này áp dụng đối với những đối tượng nào?,0.78,0.81,0.7,0.79
Dữ liệu cá nhân cơ bản bao gồm những gì?,"Họ, chữ đệm và tên khai sinh; ngày, tháng, năm sinh; giới tính; nơi sinh, nơi đăng ký khai sinh, nơi thường trú, nơi tạm trú, nơi ở hiện tại, quê quán, địa chỉ liên hệ; quốc tịch; hình ảnh của cá nhân; số điện thoại, số CMND, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số biển số xe.",['Stub context for Dữ liệu cá nhân cơ bản bao gồm những gì?'],simple,Stub answer for: Dữ liệu cá nhân cơ bản bao gồm những gì?,0.76,0.8,0.68,0.75
Thông tin về đời sống tình dục của cá nhân thuộc loại dữ liệu nào?,Đó là dữ liệu cá nhân nhạy cảm.,['Stub context for Thông tin về đời sống tình dục của cá nhân thuộc loại dữ liệu nào?'],simple,Stub answer for: Thông tin về đời sống tình dục của cá nhân thuộc loại dữ liệu nào?,0.74,0.82,0.7,0.76
"Theo đoạn trích, xử lý dữ liệu cá nhân tự động là gì?","Là hình thức xử lý dữ liệu cá nhân được thực hiện bằng phương tiện điện tử nhằm đánh giá, phân tích, dự đoán hoạt động của một con người cụ thể.","['Stub context for Theo đoạn trích, xử lý dữ liệu cá nhân tự động là gì?']",simple,"Stub answer for: Theo đoạn trích, xử lý dữ liệu cá nhân tự động là gì?",0.72,0.81,0.68,0.77
Dữ liệu cá nhân chỉ được xử lý với mục đích nào?,"Dữ liệu cá nhân chỉ được xử lý đúng với mục đích đã được Bên Kiểm soát dữ liệu cá nhân, Bên Xử lý dữ liệu cá nhân, Bên Kiểm soát và xử lý dữ liệu cá nhân, Bên thứ ba đăng ký, tuyên bố về xử lý dữ liệu cá nhân.",['Stub context for Dữ liệu cá nhân chỉ được xử lý với mục đích nào?'],simple,Stub answer for: Dữ liệu cá nhân chỉ được xử lý với mục đích nào?,0.78,0.8,0.7,0.78
Dữ liệu cá nhân được lưu trữ trong khoảng thời gian như thế nào?,"Dữ liệu cá nhân chỉ được lưu trữ trong khoảng thời gian phù hợp với mục đích xử lý dữ liệu, trừ trường hợp pháp luật có quy định khác.",['Stub context for Dữ liệu cá nhân được lưu trữ trong khoảng thời gian như thế nào?'],simple,Stub answer for: Dữ liệu cá nhân được lưu trữ trong khoảng thời gian như thế nào?,0.76,0.82,0.68,0.79
"Cơ quan, tổ chức, cá nhân vi phạm quy định bảo vệ dữ liệu cá nhân có thể bị xử lý gì?","Có thể bị xử lý kỷ luật, xử phạt vi phạm hành chính, hoặc xử lý hình sự theo quy định.","['Stub context for Cơ quan, tổ chức, cá nhân vi phạm quy định bảo vệ dữ liệu cá nhân có thể bị xử lý gì?']",simple,"Stub answer for: Cơ quan, tổ chức, cá nhân vi phạm quy định bảo vệ dữ liệu cá nhân có thể bị xử lý gì?",0.74,0.81,0.7,0.75
Cơ quan nhà nước có thẩm quyền có nhiệm vụ gì liên quan đến bảo vệ dữ liệu cá nhân?,"Ban hành hoặc ban hành theo thẩm quyền văn bản quy phạm pháp luật và chỉ đạo, tổ chức thực hiện văn bản quy phạm pháp luật về bảo vệ dữ liệu cá nhân.",['Stub context for Cơ quan nhà nước có thẩm quyền có nhiệm vụ gì liên quan đến bảo vệ dữ liệu cá nhân?'],simple,Stub answer for: Cơ quan nhà nước có thẩm quyền có nhiệm vụ gì liên quan đến bảo vệ dữ liệu cá nhân?,0.72,0.8,0.68,0.76
Việc bảo vệ dữ liệu cá nhân được thực hiện theo những quy định nào?,"Theo quy định của các điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên, các quy định khác của Luật có liên quan và Nghị định này.",['Stub context for Việc bảo vệ dữ liệu cá nhân được thực hiện theo những quy định nào?'],simple,Stub answer for: Việc bảo vệ dữ liệu cá nhân được thực hiện theo những quy định nào?,0.78,0.82,0.7,0.77
Một trong các hoạt động hợp tác quốc tế được nêu trong đoạn trích là gì?,Chuyển giao công nghệ phục vụ bảo vệ dữ liệu cá nhân.,['Stub context for Một trong các hoạt động hợp tác quốc tế được nêu trong đoạn trích là gì?'],simple,Stub answer for: Một trong các hoạt động hợp tác quốc tế được nêu trong đoạn trích là gì?,0.76,0.81,0.68,0.78
Những hành vi nào bị nghiêm cấm liên quan đến bảo vệ dữ liệu cá nhân?,"Bao gồm: xử lý dữ liệu cá nhân trái với quy định của pháp luật; xử lý dữ liệu cá nhân để tạo ra thông tin, dữ liệu nhằm chống lại Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam; xử lý dữ liệu cá nhân để tạo ra thông tin, dữ liệu gây ảnh hưởng tới an ninh quốc gia, trật tự an toàn xã hội, quyền và lợi ích hợp pháp của tổ chức, cá nhân khác; cản trở hoạt động bảo vệ dữ liệu cá nhân của cơ quan có thẩm quyền; và lợi dụng hoạt động bảo vệ dữ liệu cá nhân để vi phạm pháp luật.",['Stub context for Những hành vi nào bị nghiêm cấm liên quan đến bảo vệ dữ liệu cá nhân?'],simple,Stub answer for: Những hành vi nào bị nghiêm cấm liên quan đến bảo vệ dữ liệu cá nhân?,0.74,0.8,0.7,0.79
Chủ thể dữ liệu có quyền gì đối với việc xử lý dữ liệu cá nhân của mình?,"Được đồng ý hoặc không đồng ý cho phép xử lý dữ liệu cá nhân của mình, trừ trường hợp quy định tại Điều 17 Nghị định này.",['Stub context for Chủ thể dữ liệu có quyền gì đối với việc xử lý dữ liệu cá nhân của mình?'],simple,Stub answer for: Chủ thể dữ liệu có quyền gì đối với việc xử lý dữ liệu cá nhân của mình?,0.72,0.82,0.68,0.75
"Ai có quyền truy cập, xem, chỉnh sửa hoặc yêu cầu chỉnh sửa dữ liệu cá nhân của mình?",Chủ thể dữ liệu.,"['Stub context for Ai có quyền truy cập, xem, chỉnh sửa hoặc yêu cầu chỉnh sửa dữ liệu cá nhân của mình?']",simple,"Stub answer for: Ai có quyền truy cập, xem, chỉnh sửa hoặc yêu cầu chỉnh sửa dữ liệu cá nhân của mình?",0.78,0.81,0.7,0.76
