question,ground_truth,contexts,evolution_type
Tên hoạt động sản xuất kinh doanh là gì?,Hoạt động sản xuất kinh doanh thông thường,['(Apdungdoivoringuoinopthuetinhthuethcopiraongplapkhaa trircohogtdongsansuaitkinhdoanh) [0la]Tenhogt dong san xuat kinh doanh:Hogt dong san xuait kinh doanh thong thuong'],simple
Bảng có cột nào về thuế giá trị gia tăng?,Thue gia tri gia tang,"['| STT   | Chi tieu                                                                                                                                                         | Gia trj hang hoa, djeh vg (chua eo thue gia trj gia tang)                                                                                                        | Gia trj hang hoa, djeh vg (chua eo thue gia trj gia tang)                                                                                                        | Thue gia tri gia tang                                     | Thue gia tri gia tang                                     |\n|-------|------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------']",simple
Chỉ tiêu [43] bằng bao nhiêu theo đoạn trích?,0,['|   4.1 | Thue gia tri gia tang de nghi hoan (142] ≤ [41])                              | [42]   |   0 |\n|-------|-------------------------------------------------------------------------------|--------|-----|\n|   4.2 | Thue gia tri gia tang con durge khau trir chuyen ky sau ([43]=&#124;41]-[42]) | [43]   |   0 |'],simple
Luật Tổ chức Chính phủ được thông qua vào ngày nào?,Ngày 19 tháng 6 năm 2015.,"['Can cur Luat T0 chirc Chinh phu ngay 19 thang 6 nam 2015; Luat sira doi, bo sung mot so dieu cia Luat To chirc Chinh phi va Luat To chirc chinh quyen dia phuong ngay 22 thang 11 nam 2019;']",simple
Nghị định này áp dụng đối với những đối tượng nào?,"Cơ quan, tổ chức, cá nhân Việt Nam; cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; và cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam.","['1. Nghi dinh nay quy dinh ve bao ve du lieu ca nhan va trach nhiem bao ve du lieu ca nhan cua co quan, to chuc, ca nhan co lien quan.\n2. Nghi dinh nay ap dung doi voi:\n- a) Co quan, to churc, ca nhan Viet Nam;\n- b) Co quan, to churc, ca nhan nuoc ngoai tai Viet Nam;\n- c) Co quan, to churc, ca nhan Viet Nam hoat dong tai nuoc ngoai;\n- d) Co quan, t? chuc, ca nhan nuoc ngoai tryc tiép tham gia hoac c6 lien quan dén hoat dong xur ly du lieu ca nhan tai Viet Nam.']",simple
Dữ liệu cá nhân cơ bản bao gồm những gì?,"Họ, chữ đệm và tên khai sinh; ngày, tháng, năm sinh; giới tính; nơi sinh, nơi đăng ký khai sinh, nơi thường trú, nơi tạm trú, nơi ở hiện tại, quê quán, địa chỉ liên hệ; quốc tịch; hình ảnh của cá nhân; số điện thoại, số CMND, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số biển số xe.","['1. Dt lieu ca nhan la thong tin duoi dang ky hieu, chtr viét, chur so, hinh anh, am thanh hoac dang turong ty tren moi truong dien tur gan lien voi mot con nguoi cu the hoac giup xac dinh mot con nguoi cu the. Du lieu ca nhan bao gom dir lieu ca nhan co ban va du lieu ca nhan nhay cam.\n2. quy u u i q no ynu uoo no qp ox dn u suou 7 tu hoat dong cua ca nhan ma khi ket hop voi cac du lieu, thong tin luu tru khac co the xac dinh mot con nguoi cy the.\n3. Dur lieu ca nhan co ban bao gom:\n- a) Ho, chur dem va ten khai sinh, ten goi khac (neu co);\n- b) Ngay, thang, nam sinh; ngay, thang, nam chet hoac mat tich;\n- c) Gioi tinh;\n- d) Noi sinh, noi dang ky khai sinh, noi thuong tru, noi tam tru, noi ? hien tai, que quan, dia chi lien hé;\n- d) Quoc tich;\n- e) Hinh anh cua ca nhan;\n- g) S6 dien thoai, so chung minh nhan dan, so dinh danh ca nhan, so ho chieu, so giay phep lai xe, so bien so xe, so m']",simple
Thông tin về đời sống tình dục của cá nhân thuộc loại dữ liệu nào?,Đó là dữ liệu cá nhân nhạy cảm.,"['- c) Thong tin lien quan dén nguon goc chung toc, nguon goc dan toc;\n- d) Thong tin ve dac diem di truyen durgc thira huong hoac co dugc cua ca nhan;\n- d) Thong tin ve thuoc tinh vat ly, dac diem sinh hoc rieng cua ca nhan;\n- e) Thong tin ve doi song tinh duc, xu huong tinh duc cua ca nhan;\n- g) Du lieu ve toi pham, hanh vi pham toi dugc thu thap, luru tru boi cac co quan thyc thi phap luat;\n- h) Thong tin khach hang cua to churc tin dung, chi nhanh ngan hang nuoc ngoai, to churc cung ung dich vu trung gian thanh toan, cac to churc dugc phép khac, gom: thong tin dinh danh khach hang theo quy dinh cua phap luat, thong tin ve tai khoan, thong tin ve tien guri, thong tin ve tai san guri, thong tin ve giao dich, thong tin ve to chuc, ca nhan la ben bao dam tai to chuc tin dung, chi g  u\n- i) Du lieu ve vi tri cua ca nhan dugc xac dinh qua dich vu dinh vi;\n- k) Dur lieu ca nhan khac dugc phap']",simple
"Theo đoạn trích, xử lý dữ liệu cá nhân tự động là gì?","Là hình thức xử lý dữ liệu cá nhân được thực hiện bằng phương tiện điện tử nhằm đánh giá, phân tích, dự đoán hoạt động của một con người cụ thể.","[""12. Ben thu ba la to churc, ca nhan ngoai Chu the du lieu, Ben Kiem soat du lieu ca nhan, Ben Xur ly dur lieu ca nhan, Ben Kiem soat va xr ly du lieu ca nhan duoc phep xir ly dur lieu ca nhan.\n13. Xur ly dur liéu ca nhan tu dong la hinh thurc xur ly dur liéu ca nhan dugc thuc hien bang phuong tien dien t'r nham danh gia, phan tich, dy doan hoat dong cua mot con nguoi cu thé, nhu: thbi quen, so thich, murc do tin cay, hanh vi, dia diem, xu huong, nang lyc va cac truong hop khac.\n14. Chuyen du lieu ca nhan ra nuoc ngoai la hoat dong sur dung khong ca nhan cua cong dan Viet Nam toi mot dia diem nam ngoai lanh tho cua nuoc Cong hoa xa hoi chu nghia Viet Nam hoac sur dung mot dia diem nam ngoai lanh tho cua nuoc Cong hoa xa hoi chu nghia Viet Nam dé xiu ly du lieu ca nhan cua cong dan Viet Nam, bao gom:\n- a) T? churc, doanh nghiep, ca nhan chuyen du lieu ca nhan cua cong dan Viet Nam cho to c""]",simple
Dữ liệu cá nhân chỉ được xử lý với mục đích nào?,"Dữ liệu cá nhân chỉ được xử lý đúng với mục đích đã được Bên Kiểm soát dữ liệu cá nhân, Bên Xử lý dữ liệu cá nhân, Bên Kiểm soát và xử lý dữ liệu cá nhân, Bên thứ ba đăng ký, tuyên bố về xử lý dữ liệu cá nhân.","[""1. Du lieu ca nhan dugc x'r ly theo quy dinh cua phap luat.\n2. Chu the du lieu dugc biét ve hoat dong lien quan toi xur ly du lieu ca nhan cua minh, trir truong hop luat co quy dinh khac.\n3. Du lieu ca nhan chi duoc xur ly dung voi muc dich da duoc Ben Kiem soat dur lieu ca nhan, Ben Xur ly dur lieu ca nhan, Ben Kiém soat va xur ly du liéu ca nhan, Ben thur ba dang ky, tuyén bo ve xur ly du lieu ca nhan.\n4. Du lieu ca nhan thu thap phai phu hop va gioi han trong pham vi, muc truong hop luat co quy dinh khac.\n5. Du lieu ca nhan dugc cap nhat, bo sung phu hop voi muc dich xur ly.""]",simple
Dữ liệu cá nhân được lưu trữ trong khoảng thời gian như thế nào?,"Dữ liệu cá nhân chỉ được lưu trữ trong khoảng thời gian phù hợp với mục đích xử lý dữ liệu, trừ trường hợp pháp luật có quy định khác.","['6. Du lieu ca nhan duoc ap dung cacbien phap bao vé, bao mat trong qua vé dur lieu ca nhan va phong, chong sy mat mat, pha huy hoac thiet hai do su co, sur dung cac bien phap ky thuat.\n7. Du lieu ca nhan chi dugc luu tru trong khoang thoi gian phu hop voi muc dich xir ly du lieu, trir truong hop phap luat co quy dinh khac.\n8. Ben Kiem soat dur lieu, Ben Kiem soat va xur ly du lieu ca nhan phai u o    n  s y  a u xur ly dur lieu do.']",simple
